Player,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PS/G
,,,,,,,,,,
Alex Abrines\abrinal01,.401,1.1,.548,.854,1.5,0.4,0.5,0.1,0.3,4.7
Quincy Acy\acyqu01,.343,1.4,.478,.828,3.7,0.8,0.4,0.4,0.9,5.6
Steven Adams\adamsst01,.627,0.0,.627,.553,9.1,1.2,1.2,1.1,1.7,13.9
Bam Adebayo\adebaba01,.514,0.0,.514,.708,5.5,1.5,0.4,0.6,0.9,7.0
Arron Afflalo\afflaar01,.392,0.5,.474,.846,1.3,0.6,0.1,0.2,0.4,3.3
Cole Aldrich\aldrico01,.333,0.0,.333,.333,0.7,0.1,0.1,0.1,0.1,0.6
LaMarcus Aldridge\aldrila01,.511,0.4,.522,.837,8.4,2.0,0.5,1.2,1.5,23.3
Jarrett Allen\allenja01,.587,0.1,.592,.772,5.3,0.7,0.4,1.1,1.2,8.2
Kadeem Allen\allenka01,.200,0.0,.200,.750,0.4,0.4,0.2,0.1,0.4,0.5
Tony Allen\allento01,.484,0.2,.505,.524,2.1,0.4,0.5,0.1,0.9,4.7
Al-Farouq Aminu\aminual01,.400,1.9,.510,.738,7.6,1.2,1.1,0.6,1.1,9.6
Justin Anderson\anderju01,.418,0.8,.495,.722,2.5,0.7,0.4,0.2,0.4,5.9
Kyle Anderson\anderky01,.528,0.2,.548,.710,5.5,2.8,1.5,0.8,1.3,7.9
Ryan Anderson\anderry01,.431,2.0,.568,.774,5.0,0.9,0.4,0.3,0.6,9.3
Ike Anigbogu\anigbik01,.444,0.0,.444,.833,0.9,0.0,0.1,0.3,0.2,1.3
Giannis Antetokounmpo\antetgi01,.534,0.6,.550,.758,10.0,4.8,1.4,1.4,3.0,27.2
Carmelo Anthony\anthoca01,.403,2.2,.476,.761,5.9,1.3,0.6,0.6,1.3,16.2
OG Anunoby\anunoog01,.461,0.9,.563,.627,2.3,0.8,0.7,0.2,0.6,5.7
Ryan Arcidiacono\arcidry01,.400,0.3,.520,.833,0.7,1.2,0.6,0.0,0.4,1.6
Trevor Ariza\arizatr01,.414,2.6,.548,.854,4.5,1.6,1.5,0.2,0.8,11.9
Darrell Arthur\arthuda01,.468,0.4,.553,.667,0.8,0.5,0.4,0.2,0.8,2.8
Jamel Artis\artisja01,.378,0.5,.446,.571,2.2,1.3,0.1,0.1,0.1,3.7
Omer Asik\asikom01,.438,0.0,.438,.333,2.6,0.1,0.1,0.1,0.4,1.3
D.J. Augustin\augusdj01,.449,1.5,.556,.867,2.2,3.9,0.8,0.0,1.6,10.2
Luke Babbitt\babbilu01,.439,1.2,.583,.773,1.9,0.6,0.2,0.1,0.4,5.3
Luke Babbitt\babbilu01,.476,1.3,.622,.773,2.2,0.7,0.2,0.1,0.4,6.1
Luke Babbitt\babbilu01,.270,0.9,.405,,1.0,0.3,0.1,0.2,0.4,2.7
Dwayne Bacon\bacondw01,.375,0.2,.404,.800,2.3,0.7,0.3,0.0,0.4,3.3
Ron Baker\bakerro01,.339,0.4,.432,.769,1.0,1.6,0.9,0.2,0.6,2.4
Wade Baldwin\baldwwa01,.714,0.3,.786,.556,1.3,0.5,0.0,0.0,0.5,4.0
Lonzo Ball\balllo01,.360,1.7,.440,.451,6.9,7.2,1.7,0.8,2.6,10.2
J.J. Barea\bareajo01,.439,1.7,.523,.784,2.9,6.3,0.5,0.0,2.1,11.7
Harrison Barnes\barneha02,.446,1.5,.495,.833,6.1,2.0,0.7,0.2,1.5,18.9
Will Barton\bartowi01,.448,1.9,.522,.808,5.0,4.1,1.0,0.6,1.8,15.3
Nicolas Batum\batumni01,.411,1.4,.480,.828,4.8,5.5,1.0,0.4,2.0,11.6
Jerryd Bayless\bayleje01,.416,1.4,.519,.795,2.1,1.4,0.6,0.2,1.2,7.9
Aron Baynes\baynear01,.478,0.0,.480,.750,5.3,1.1,0.2,0.6,1.0,5.9
Kent Bazemore\bazemke01,.420,1.7,.500,.796,3.8,3.5,1.5,0.7,2.4,12.9
Bradley Beal\bealbr01,.463,2.4,.530,.795,4.4,4.5,1.2,0.4,2.6,22.7
Malik Beasley\beaslma01,.407,0.4,.483,.667,1.2,0.5,0.2,0.1,0.4,3.2
Michael Beasley\beaslmi01,.508,0.5,.529,.780,5.7,1.7,0.5,0.6,2.0,13.3
Marco Belinelli\belinma01,.442,1.7,.536,.913,1.8,1.8,0.8,0.1,1.1,11.7
Marco Belinelli\belinma01,.411,1.8,.506,.927,1.9,2.0,0.9,0.1,1.0,11.4
Marco Belinelli\belinma01,.512,1.7,.604,.875,1.5,1.5,0.6,0.3,1.3,12.6
Jordan Bell\belljo01,.631,0.0,.631,.690,3.8,1.9,0.6,1.1,0.9,4.8
DeAndre' Bembry\bembrde01,.404,0.4,.445,.593,2.8,1.7,0.7,0.4,1.8,4.9
Dragan Bender\bendedr01,.376,1.4,.496,.771,4.1,1.6,0.3,0.6,1.4,6.2
Davis Bertans\bertada01,.436,1.3,.564,.816,2.1,1.0,0.4,0.4,0.5,6.1
Patrick Beverley\beverpa01,.403,2.2,.504,.824,4.1,2.9,1.6,0.5,2.3,12.2
Khem Birch\birchkh01,.500,0.0,.500,.657,3.7,0.7,0.3,0.4,0.5,3.3
Jabari Bird\birdja01,.250,0.0,.250,.500,0.5,0.1,0.1,0.0,0.1,0.6
Bismack Biyombo\biyombi01,.511,0.0,.511,.657,5.6,0.8,0.2,1.2,1.0,5.5
Nemanja Bjelica\bjeline01,.476,1.2,.581,.800,4.1,1.3,0.7,0.2,0.8,7.0
Tarik Black\blackta01,.600,0.0,.600,.473,3.0,0.3,0.4,0.5,0.7,3.4
Antonio Blakeney\blakean01,.371,0.8,.423,.769,1.7,1.1,0.4,0.1,0.6,7.9
Eric Bledsoe\bledser01,.470,1.7,.533,.784,3.8,4.9,2.0,0.6,3.0,17.8
Eric Bledsoe\bledser01,.400,1.3,.450,.786,2.3,3.0,1.3,0.7,3.3,15.7
Eric Bledsoe\bledser01,.474,1.7,.537,.784,3.9,4.9,2.0,0.6,2.9,17.9
Vander Blue\blueva01,.200,0.0,.200,.500,0.2,0.6,0.2,0.0,0.6,0.6
Bogdan Bogdanovic\bogdabo01,.451,1.7,.536,.840,2.9,3.3,0.9,0.2,1.6,11.9
Bojan Bogdanovic\bogdabo02,.472,1.9,.562,.865,3.4,1.5,0.7,0.1,1.3,14.2
Andrew Bogut\bogutan01,.680,0.0,.680,1.000,3.4,0.7,0.2,0.6,0.8,1.6
Joel Bolomboy\bolomjo01,.500,0.0,.500,.500,1.7,0.0,0.3,0.0,0.3,1.5
Devin Booker\bookede01,.432,2.7,.501,.878,4.5,4.7,0.9,0.3,3.6,24.9
Trevor Booker\booketr01,.522,0.1,.535,.701,4.6,1.2,0.4,0.3,0.9,6.2
Trevor Booker\booketr01,.513,0.2,.523,.558,6.6,2.1,0.4,0.3,1.7,10.1
Trevor Booker\booketr01,.560,0.1,.569,.821,3.7,0.8,0.5,0.3,0.6,4.7
Trevor Booker\booketr01,.474,0.2,.500,1.000,4.3,0.9,0.2,0.3,0.6,4.8
Chris Boucher\bouchch01,.000,0.0,.000,,1.0,0.0,0.0,0.0,0.0,0.0
Avery Bradley\bradlav01,.414,1.6,.474,.768,2.5,2.0,1.1,0.2,2.2,14.3
Avery Bradley\bradlav01,.409,1.9,.474,.763,2.4,2.1,1.2,0.2,2.3,15.0
Avery Bradley\bradlav01,.473,0.2,.482,1.000,3.7,1.8,0.8,0.2,1.3,9.2
Tony Bradley\bradlto01,.273,0.0,.273,1.000,1.2,0.1,0.0,0.0,0.0,0.9
Corey Brewer\breweco01,.452,0.4,.498,.721,2.1,0.9,1.1,0.2,0.7,5.1
Corey Brewer\breweco01,.453,0.1,.477,.667,1.7,0.8,0.8,0.1,0.7,3.7
Corey Brewer\breweco01,.449,1.3,.530,.800,3.5,1.4,2.1,0.4,0.7,10.2
Malcolm Brogdon\brogdma01,.487,1.3,.547,.882,3.3,3.2,0.9,0.3,1.4,13.3
Aaron Brooks\brookaa01,.406,0.4,.486,.727,0.5,0.6,0.2,0.0,0.3,2.4
Dillon Brooks\brookdi01,.438,1.1,.499,.737,3.1,1.5,0.8,0.2,1.5,10.4
MarShon Brooks\brookma01,.600,3.0,.720,1.000,1.0,2.0,1.5,0.5,1.0,22.5
Anthony Brown\brownan02,1.000,1.0,1.500,,0.0,1.0,0.0,0.0,0.0,3.0
Bobby Brown\brownbo02,.328,0.6,.422,.500,0.4,0.6,0.2,0.0,0.5,2.5
Jaylen Brown\brownja02,.462,1.6,.533,.648,5.1,1.6,1.0,0.4,1.7,14.2
Lorenzo Brown\brownlo01,.360,0.1,.380,1.000,0.8,0.9,0.3,0.0,0.2,1.6
Markel Brown\brownma02,.286,0.3,.357,,1.3,0.5,0.0,0.0,0.5,1.3
Sterling Brown\brownst02,.408,0.6,.487,.875,2.6,0.5,0.6,0.2,0.5,4.1
Nicolas Brussino\brussni01,.000,0.0,.000,,0.8,0.0,0.0,0.0,0.0,0.0
Thomas Bryant\bryanth01,.333,0.1,.389,.667,0.5,0.2,0.0,0.0,0.1,1.0
Reggie Bullock\bullore01,.489,2.0,.602,.792,2.5,1.5,0.8,0.2,0.8,11.2
Trey Burke\burketr01,.518,1.0,.568,.636,1.8,4.4,0.6,0.1,1.1,12.7
Alec Burks\burksal01,.410,0.7,.464,.863,3.0,1.0,0.6,0.1,0.9,7.7
Jimmy Butler\butleji01,.473,1.2,.512,.865,5.4,5.0,1.9,0.4,1.8,22.2
Dwight Buycks\buyckdw01,.414,0.5,.452,.878,1.4,2.0,0.7,0.1,1.3,7.4
Bruno Caboclo\cabocbr01,.300,0.3,.350,.833,1.8,0.5,0.3,0.4,0.4,2.4
Bruno Caboclo\cabocbr01,.000,0.0,.000,,0.5,0.5,0.5,0.0,0.0,0.0
Bruno Caboclo\cabocbr01,.321,0.3,.375,.833,2.1,0.4,0.2,0.4,0.4,2.9
Jose Calderon\caldejo01,.511,0.8,.633,.800,1.5,2.1,0.5,0.0,0.7,4.6
Kentavious Caldwell-Pope\caldwke01,.429,2.2,.530,.781,5.4,2.2,1.5,0.2,1.3,13.8
Isaiah Canaan\canaais01,.380,1.1,.460,.902,2.3,3.8,0.8,0.1,1.5,8.6
Isaiah Canaan\canaais01,.000,0.0,.000,,1.0,0.0,0.0,0.0,0.0,0.0
Isaiah Canaan\canaais01,.382,1.2,.463,.902,2.3,4.0,0.8,0.1,1.5,9.1
Clint Capela\capelca01,.652,0.0,.652,.562,10.9,0.9,0.8,1.9,1.4,14.0
DeMarre Carroll\carrode01,.414,2.0,.506,.764,6.6,2.0,0.8,0.4,1.4,13.5
Vince Carter\cartevi01,.401,1.0,.502,.735,2.5,1.1,0.7,0.5,0.6,5.4
Michael Carter-Williams\cartemi01,.332,0.3,.362,.820,2.7,2.2,0.8,0.4,1.0,4.6
Alex Caruso\carusal01,.425,0.3,.471,.682,1.4,1.9,0.6,0.3,1.0,3.0
Omri Casspi\casspom01,.580,0.2,.604,.725,3.8,1.0,0.3,0.4,0.7,5.7
Willie Cauley-Stein\caulewi01,.495,0.0,.497,.618,6.9,2.3,1.1,0.9,1.5,12.4
Tyler Cavanaugh\cavanty01,.448,0.8,.555,.810,3.2,0.7,0.2,0.1,0.4,4.7
Mario Chalmers\chalmma01,.379,0.8,.438,.856,2.4,3.0,1.2,0.2,1.8,7.7
Tyson Chandler\chandty01,.647,0.0,.647,.617,9.1,1.2,0.3,0.6,1.3,6.5
Wilson Chandler\chandwi01,.445,1.2,.516,.768,5.3,2.2,0.6,0.5,1.3,10.1
Marquese Chriss\chrisma01,.420,0.8,.480,.595,5.5,1.1,0.7,1.0,1.5,7.5
Ian Clark\clarkia01,.445,0.8,.505,.763,1.7,1.4,0.4,0.1,0.8,7.4
Jordan Clarkson\clarkjo01,.453,1.4,.511,.796,2.8,2.8,0.7,0.1,1.6,14.2
Jordan Clarkson\clarkjo01,.448,1.3,.499,.795,3.0,3.3,0.7,0.1,1.8,14.5
Jordan Clarkson\clarkjo01,.465,1.7,.543,.796,2.2,1.8,0.7,0.1,1.1,13.3
Gian Clavell\clavegi01,.333,0.9,.500,1.000,1.0,0.4,0.3,0.0,0.3,2.9
Antonius Cleveland\clevean01,.286,0.0,.286,.500,0.8,0.2,0.5,0.3,0.2,0.8
John Collins\collijo01,.583,0.2,.596,.738,7.3,1.2,0.6,1.1,1.4,10.5
Zach Collins\colliza01,.409,0.5,.471,.650,3.4,0.8,0.3,0.5,0.9,4.6
Kyle Collinsworth\colliky01,.382,0.1,.412,.500,3.0,1.4,0.5,0.2,0.6,2.6
Darren Collison\collida01,.498,1.4,.573,.880,2.6,5.4,1.4,0.2,1.3,12.6
Nick Collison\collini01,.684,0.0,.684,.500,1.5,0.3,0.0,0.0,0.5,2.3
Mike Conley\conlemi01,.381,2.0,.452,.803,2.3,4.1,1.0,0.3,1.5,17.1
Pat Connaughton\connapa01,.418,0.9,.514,.837,1.9,1.2,0.3,0.3,0.5,5.5
Quinn Cook\cookqu01,.493,1.2,.580,.905,2.3,2.5,0.4,0.0,0.9,8.9
Charles Cooke\cookech01,.167,0.1,.208,.500,0.2,0.1,0.1,0.0,0.1,0.5
Jack Cooley\cooleja01,.533,0.0,.533,.800,4.8,1.0,0.3,0.0,0.0,5.0
Matt Costello\costema01,.500,0.0,.500,,2.3,0.5,0.5,0.5,0.3,1.0
DeMarcus Cousins\couside01,.470,2.2,.530,.746,12.9,5.4,1.6,1.6,5.0,25.2
Robert Covington\covinro01,.412,2.6,.534,.853,5.4,1.9,1.7,0.8,1.6,12.8
Allen Crabbe\crabbal01,.396,2.5,.512,.840,4.3,1.5,0.6,0.4,1.1,12.5
Torrey Craig\craigto01,.466,0.5,.530,.629,3.5,0.7,0.3,0.3,0.5,4.7
Jamal Crawford\crawfja01,.421,1.4,.493,.900,1.2,2.3,0.5,0.1,1.2,10.6
Jordan Crawford\crawfjo02,.500,2.0,.643,,1.5,4.5,0.0,0.5,2.0,9.0
Jae Crowder\crowdja01,.408,1.4,.491,.817,3.4,1.3,0.8,0.3,0.9,9.6
Jae Crowder\crowdja01,.418,1.2,.500,.848,3.3,1.1,0.8,0.2,0.8,8.6
Jae Crowder\crowdja01,.394,1.8,.478,.760,3.8,1.6,0.8,0.3,1.3,12.1
Dante Cunningham\cunnida01,.450,0.8,.534,.588,3.9,0.6,0.5,0.4,0.5,5.6
Dante Cunningham\cunnida01,.440,0.7,.518,.556,3.8,0.5,0.5,0.3,0.3,5.0
Dante Cunningham\cunnida01,.470,1.2,.564,.667,4.3,0.9,0.6,0.5,0.8,7.5
Stephen Curry\curryst01,.495,4.2,.618,.921,5.1,6.1,1.6,0.2,3.0,26.4
Troy Daniels\danietr01,.405,2.3,.565,.875,1.6,0.6,0.3,0.1,0.7,9.0
Anthony Davis\davisan02,.535,0.7,.554,.835,11.1,2.3,1.5,2.5,2.2,28.1
Deyonta Davis\davisde01,.612,0.0,.612,.685,3.8,0.6,0.2,0.6,0.5,5.5
Ed Davis\davised01,.585,0.0,.585,.667,7.4,0.5,0.4,0.7,0.8,5.4
Dewayne Dedmon\dedmode01,.525,0.8,.578,.787,7.9,1.4,0.7,0.8,1.4,9.9
Sam Dekker\dekkesa01,.481,0.1,.502,.679,2.2,0.5,0.3,0.1,0.4,4.0
Malcolm Delaney\delanma01,.382,0.9,.463,.804,1.9,3.0,0.6,0.1,1.2,6.3
Matthew Dellavedova\dellama01,.369,0.8,.466,.920,1.7,3.8,0.4,0.0,1.3,4.4
